id,meterpoint,consumption,uplift
1,100023457678,789,1
2,158124565795,20146,1
3,132456478964,5899,2
4,106354689332,23,2
5,235544576575,103576,5
6,154357890977,23456,1
7,173345089323,4324,1
8,192235768686,34343,2
9,142389808776,465678,2
10,100003225456,2224,2
11,234565576565,3454,2
12,143657576544,34543,2
13,145465756556,453544,3
14,132457657567,34454,2
15,124334354545,876,1
16,194534545345,124,3
17,103433434252,356,1
18,103432542354,3234,1
19,123676567434,7655,2
20,185464456543,975,1
21,109565465645,3467,1
22,176456469453,3478,1
23,134432554544,333,2
24,133453453453,222,2
25,179879783453,143,2
26,144543563453,12454,2
27,154765467555,25678,1
28,197897894564,2323,1
29,189867567674,8778,1
30,194563453454,6544,1
31,108567546546,879,2
32,105653656454,3457,2
33,104554545453,5456,3
34,103433243442,83456,1
35,213454535334,1834,1
36,125654656546,23456,1
37,178565654656,4545,1
38,103432433433,4544,1
39,103243542543,9687,2
40,130000045454,34567,1
41,134368900055,3454,2
42,188554633454,23456,2
43,143234546589,235,2
44,103432434233,222,2
45,103454543543,5465,2
46,185463546546,676,1
47,123434324323,997,1
48,104453453454,444,1
49,194543453433,2354,2
50,143433243243,3556,2
